Tweets,hash,Score
 rt noticias video panamericananoticias 24horas anonymous involucra al presidente trump en red de explotación sexual de menores…,"panamericananoticias,24horas,anonymous,trump",0
 what presidenttrump amp nazis germany ww2 similar fom…,"presidenttrump,nazis,germany,ww2",0
 rt nigerian police you're joker 😂😂😂😂😂😂😂😂😂 trump anomymous seattleprotests icantbreath,"trump,anomymous,seattleprotests,icantbreath",1
 rt trump der kriminelle bachmann und w rechtsradikale jubelten über die sperrung des offiziellen antifa usa account alle…,"trump,kriminelle,bachmann",-1
 pearljam blacklivesmatter trump,"pearljam,blacklivesmatter,trump",0
 rt trump i mobilize available federal resources civilian military stop rioting looting …,trump,-1
 wow powerful videos lincolnproject trump america really needs said as…,"lincolnproject,trump,america",1
 when story's finally told amp world finds russia owned blackmailing trump many ye…,"russia,trump",0
 rt dopeydon tuesday reality check causing great divide america trump threatens gov’s s…,"dopeydon,trump",1
 rt told y’all racism is not born it’s taught 😓😓 just imagine!! georgefloyd wizkid trump blacklivesmatter abuja akure…,"georgefloyd,wizkid,trump,blacklivesmatter",-1
 rt told y’all racism is not born it’s taught 😓😓 just imagine!! georgefloyd wizkid trump blacklivesmatter abuja akure…,"georgefloyd,wizkid,trump,blacklivesmatter",-1
 rt the riots setup trump could bring martiallaw u think they’re safety pha…,"riots,trump,martiallaw",-1
 rt a trump le están dando un golpe de estado trump está respondiendo como cualquier líder respònsable que protege su pue…,trump,0
 rt non riesco capire perché la protesta per la morte di georgeflyod sia indirizzata verso trump il minnesota è uno…,"georgeflyod,trump,minnesota",0
 rt donald trump est raciste c’est un homme qui joue sur tous les ressorts racistes pour être élu et réélu l'analyse de n…,trump,0
 rt sniper secret service secretservice sniper trump police riots washington,"secretservice,sniper,trump,police,riots,washington",-1
 rt 13 great investigative work kashoggi trump epstein maxwell thx edward from…,"kashoggi,trump,epstein,maxwell",1
 mike valerio interview trump biblephotoop bible christians…,"trump,biblephotoop,bible,christians",0
 rt rt por si borran el video 🙏 anonymuos casablanca trump nostradamus estadosunidos nomastrump anonymous georgefloyd…,"anonymuos,casablanca,trump,nostradamus,estadosunidos,nomastrump,anonymous",0
 rt petti exclusive the trump admin says not secure freedom american prisoner michael white releasing ir…,trump,-1
 rt a trump le están dando un golpe de estado trump está respondiendo como cualquier líder respònsable que protege su pue…,trump,0
 rt notate la differenza io non la vedo salvini trump,"salvini,trump",0
 the way police works us nothing come europe lol now snowflakes realize🤣🤣🤣 maga2020 trump,"maga2020,trump",-1
 trump,trump,0
 rt 13 btw talk trump links epstein maxwell b…,"trump,epstein,maxwell",0
 this anonymous blacklivesmatter donaldtrump casablanca anonymousisback,"anonymous,blacklivesmatter,donaldtrump,casablanca,anonymousisback",0
 rt ks americaortrump police ease protest instead using violence americans trump anom…,"americaortrump,trump",-1
 άντε να κάνει την αρχή με τούς αντιφα ο πρόεδρος τραμπ trump και εν συνεχεία και τα άλλα κράτη να ξεβρομίσει ο…,"αντιφα,τραμπ,trump",0
 rt fast poll day what one word would use describe trump this poll ends tonight please vote retwe…,"poll,trump",1
 trumpet donaldtrump india russia g7summit trump's bid counter china invite india russia g7…,"donaldtrump,india,russia,g7summit",1
 rt lindner immer wenn man denkt trump kann es nicht noch schlimmer machen wird man eines besseren belehrt den usa wünschen wir ve…,"trump,usa",0
 burgessct opinion the arsonist white house burgessct trump via,trump,0
 trump heeft vast alle dvd's hitler bekeken dictatortrump…,"trump,hitler,dictatortrump",-1
 trump heeft vast alle dvd's hitler bekeken dictatortrump…,"trump,hitler,dictatortrump",-1
 rt trump tweets yesterday new york lost looters thugs radical left forms lowlife amp sc…,trump,-1
 thank like pope said trump not christian ✝️,trump,1
 rt us präsident donald trump hat sich einem bunker im weißen haus vor protesten geschützt der richtige ort für seine unter…,trump,0
 what presidenttrump amp nazis germany ww2 similar …,"presidenttrump,nazis,germany,ww2",0
 rt what hunger games soundtrack going trump disgraceful trumpdictatorship remember he…,"trump,disgraceful,trumpdictatorship",-1
 rt what hunger games soundtrack going trump disgraceful trumpdictatorship remember he…,"trump,disgraceful,trumpdictatorship",-1
 rt trump violates constitution say,trump,-1
 rt 🇺🇸 usariots contrairement aux antifas trump des couilles après un discours historique méprisant émeutiers et pillards …,"usariots,antifas,trump",0
 rt 2h12 twitter font que de supprimer ces photos partager à fond si je saute c’est pour la bonne cause trump anonymous black live…,"trump,anonymous",1
 rt no nos callamos más somos una legión anonymous donaldtrump dcsafe,"anonymous,donaldtrump,dcsafe",-1
 georgeflyod trump anonymous palestinelivesmatter,"georgeflyod,trump,anonymous,palestinelivesmatter",0
 rt ya que trump está escondido guaidocomplicedejj se autoproclama presidente de eeuu 😁😁,"trump,guaidocomplicedejj,eeuu",0
 1807 law is center trump's newest move,"center,trump,newest",0
 rt 1309 es la biblia trump finalmente saco la death note 🤔 bible donaldtrump,"bible,donaldtrump",-1
 people concerned trump holding bible opposed rioters looters destroying county assclowns,"trump,assclowns",-1
 rt cops become fukkn animals trump who become humiliated whimpering bunkerbitch,"trump,bunkerbitch",-1
 trump hillaryemails hillaryclinton qanons,"trump,hillaryemails,hillaryclinton,qanons",0
 i want our maga rallies back if these people can riot amp destroy our country amp joebiden can go o…,"maga,joebiden",-1
 bullets trumpdictatorship 105 192 americans dead covid19 6 02 20 “it’s going disappear one day it’s l…,"trumpdictatorship,covid19",-1
 polis şefinden trump'a çeneni kapat! abd trump cnn reuters georgefloyd protesto…,"abd,trump,cnn,reuters,georgefloyd,protesto",-1
 polis şefinden trump'a çeneni kapat! abd trump cnn reuters georgefloyd protesto…,"abd,trump,cnn,reuters,georgefloyd,protesto",-1
 rt drawing stuff new little trump sketch warm illustration,"trump,sketch,illustration",1
 how no one states done jfk taken trump yet trump,trump,-1
 rt please enjoy tuesday's donaldtrump cartoon blm bunkerdon,"donaldtrump,blm,bunkerdon",1
 rt please enjoy tuesday's donaldtrump cartoon blm bunkerdon,"donaldtrump,blm,bunkerdon",1
 stjohnschurch stjohns trump gop,"stjohnschurch,stjohns,trump,gop",0
 latest opinionpolls show joebiden beating donaldtrump comfortable margin 5 months go things could chan…,"opinionpolls,joebiden,donaldtrump",1
 rt is military coup taking place united states insurrectionact georgefloyd protests2020 trump,"insurrectionact,georgefloyd,protests2020,trump",-1
 rt is military coup taking place united states insurrectionact georgefloyd protests2020 trump,"insurrectionact,georgefloyd,protests2020,trump",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt miga president trump great man president trump true patriot all patriots around world lov…,"president,trump,patriot",1
 rt then bunkerboy better buckle cuz i’m not finished mocking yet,bunkerboy,-1
 rt 🍕 epstein trump,"epstein,trump",0
 rt se dio esistesse lo avrebbe fulminato proprio questo istante georgefloyd bibbia trump anomymous 2giugno blacklif…,"georgefloyd,bibbia,trump,anomymous,2giugno",-1
 rt se dio esistesse lo avrebbe fulminato proprio questo istante georgefloyd bibbia trump anomymous 2giugno blacklif…,"georgefloyd,bibbia,trump,anomymous,2giugno",-1
 rt ks americaortrump police ease protest instead using violence americans trump anom…,"americaortrump,trump",-1
 rt solo por mencionar algunos porque hay muchos más trump tiene en contra soros bezos gates slim cuatro de las person…,trump,0
 rt taylorswift arremete contra el presidente donaldtrump en las redes vía 📸 👉 …,"taylorswift,donaldtrump",0
 rt alllivesmatter blacklifematters blakelivesmatter blackoutday covid19 anonymous georgefloydprotests georgefloyd ame…,"alllivesmatter,blacklifematters,blakelivesmatter,blackoutday,covid19,anonymous,georgefloydprotests,georgefloyd",-1
 rt alllivesmatter blacklifematters blakelivesmatter blackoutday covid19 anonymous georgefloydprotests georgefloyd ame…,"alllivesmatter,blacklifematters,blakelivesmatter,blackoutday,covid19,anonymous,georgefloydprotests,georgefloyd",-1
 rt alllivesmatter blacklifematters blakelivesmatter blackoutday covid19 anonymous georgefloydprotests georgefloyd ame…,"alllivesmatter,blacklifematters,blakelivesmatter,blackoutday,covid19,anonymous,georgefloydprotests,georgefloyd",-1
 rt alllivesmatter blacklifematters blakelivesmatter blackoutday covid19 anonymous georgefloydprotests georgefloyd ame…,"alllivesmatter,blacklifematters,blakelivesmatter,blackoutday,covid19,anonymous,georgefloydprotests,georgefloyd",-1
 rt alllivesmatter blacklifematters blakelivesmatter blackoutday covid19 anonymous georgefloydprotests georgefloyd ame…,"alllivesmatter,blacklifematters,blakelivesmatter,blackoutday,covid19,anonymous,georgefloydprotests,georgefloyd",-1
 rt raise hand think resign votebluetosaveamerica blackl…,votebluetosaveamerica,1
 rt einwohner von philadelphia marschieren mit baseballschläger! georgefloyd riots blacklivesmatter protests protest…,"philadelphia,georgefloyd,riots,blacklivesmatter,protests",-1
 der unverantwortliche trump und sein versagen während der corona krise eine absolut sehenswerte dokumentation,"trump,corona",0
 rt trump après avoir annoncé être déterminé rétablir l'ordre dans le pays par tous les moyens compris le recours à l…,trump,0
 rt il razzismo non nasce viene insegnato blacklivesmatter antifaterrorist trump,"razzismo,insegnato,blacklivesmatter,antifaterrorist,trump",0
 rt ks americaortrump police ease protest instead using violence americans trump anom…,"americaortrump,trump",-1
 thank one senators called trump's speech fascist i couldn't proud …,"trump,fascist",-1
 rt cuba las ciudades na estallando de violencia saqueo trump dónde está en su falta de liderazgo inadecuado aseso…,"cuba,trump",0
 rt 🔰 junio2020 🔰 haber visto trump con una biblia en la mano no fue raro ya q es algo común de aquellos q apuestan por el…,"junio2020,trump",-1
 rt kommentar was trump da macht ist widerlich trump usa kommentar floyd rassismus,"trump,usa,kommentar,floyd,rassismus",0
 während trump die antifa verbieten sieht man das der schweiz etwas entspannter bundesrat sommaruga pl…,"trump,antifa,schweiz",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 trump quitando los focos de la casa blanca anomymous casablanca donaldtrump,"anomymous,casablanca,donaldtrump",0
 rt cersei riassunto del discorso di trump cari governatori dem se non vi decidete impiegare la guardia nazionale mando io…,trump,0
 rt drown hashtags instead!!!!!!! deputysheriff policefamily armedforcesday backtheblue policepics police poli…,"deputysheriff,policefamily,armedforcesday,backtheblue,policepics,police",-1
 rt trump tweets yesterday new york lost looters thugs radical left forms lowlife amp sc…,trump,-1
 rt se dio esistesse lo avrebbe fulminato proprio questo istante georgefloyd bibbia trump anomymous 2giugno blacklif…,"georgefloyd,bibbia,trump,anomymous,2giugno",-1
 rt se dio esistesse lo avrebbe fulminato proprio questo istante georgefloyd bibbia trump anomymous 2giugno blacklif…,"georgefloyd,bibbia,trump,anomymous,2giugno",-1
 real leadership houston police chief telling trump “let say president united states …,trump,1
 this united states america dictatorship! trumpout2020 trumpdictatorship…,"trumpout2020,trumpdictatorship",-1
 this united states america dictatorship! trumpout2020 trumpdictatorship…,"trumpout2020,trumpdictatorship",-1
 rt this police ease protest instead using violence americans follow trump…,trump,-1
 rt us president trump called president law order rose garden address military police firi…,"us,trump,military",0
 rt trump hat den usa das überfällige eingeleitet die einstufung der antifa als terrororganisation jetzt fordert…,"trump,usa,antifa,terrororganisation",-1
 rt l'ultimo atto è questo stanotte trump si è dichiarato pronto schierare l'esercito contro cittadini serve ascolto …,trump,0
 rt yall hilarious cops arrest innocent black guy without knowing he's fbi blacklifematters blacklivesma…,blacklifematters,1
 rt 🛑the riots!! they will soon realize it!! unitednotdivided enationtrains trump 🚫@etheelephant1 ⚔️@my trigger 🚫@kag1776m…,"unitednotdivided,enationtrains,trump",-1
 kimjungun undergone heart surgery procedure receiving secretletter donald trump,"kimjungun,secretletter,trump",0
 rt anonymuos anonymous michealjackson michaeljacksoninnocent donaldtrump pizzagate,"anonymuos,anonymous,michealjackson,michaeljacksoninnocent,donaldtrump,pizzagate",0
 strong words archbishop dc trump,trump,1
 rt pit bull menschen die gewalttätig gegen trump protestieren sind gut! menschen die friedlich gegen merkel demonstrieren sind…,"trump,merkel",-1
 rt these rioters trying blow atm philadelphia! minneapolis georgefloyd riots blacklivesmatter usariot …,"philadelphia,minneapolis,georgefloyd,riots,blacklivesmatter,usariot",-1
 rt ranjan786 americaortrump vine st expressway philly they are literally trapped pls retweet dictatortrump americaortrump…,"americaortrump,dictatortrump,americaortrump",-1
 rt ore 14 46 dimaio ministroinutile degli esteri non ha ancora detto nulla sulla repressione di trump usaprotest https …,"dimaio,ministroinutile,trump,usaprotest",1
 rt mentre una nazione brucia dilaniata dal dolore e dalla repressione la risposta di donaldtrump è specchio dell'inadeguat…,donaldtrump,0
 rt trump der kriminelle bachmann und w rechtsradikale jubelten über die sperrung des offiziellen antifa usa account alle…,"trump,kriminelle,bachmann",-1
 rt fast poll day what one word would use describe trump this poll ends tonight please vote retwe…,"poll,trump",1
 rt ein antifa account rief bei twitter zu gewalt auf donald trump jr nannte den account als beispiel dafür wie gefähr…,trump,0
 terrible 2020 para trump ahora partidos de izquierda liderados por del caño realizan una marcha en su contra!! 🤭🤭🤭,trump,-1
 rt los disturbios en eeuu lograron apagar las luces en la casa blanca trump refugiarse en un búnker ese es el tris…,"eeuu,trump",0
 rt trump hat sich einem bunker im weißen haus vor protesten geschützt wir als deutsche können aus erfahrung sagen ab dies…,trump,0
 rt 🇺🇲‼️the usa dictator trump☠️ formally become brutal dictatorship the international community sen…,"usa,trump",-1
 rt anonimous anomymous blakelivesmatter georgefloydwasmurdered donaldtrump epstein compartir rápido el video que twitte…,"anonimous,anomymous,blakelivesmatter,georgefloydwasmurdered,donaldtrump,epstein",0
 rt anonimous anomymous blakelivesmatter georgefloydwasmurdered donaldtrump epstein compartir rápido el video que twitte…,"anonimous,anomymous,blakelivesmatter,georgefloydwasmurdered,donaldtrump,epstein",0
 rt anonimous anomymous blakelivesmatter georgefloydwasmurdered donaldtrump epstein compartir rápido el video que twitte…,"anonimous,anomymous,blakelivesmatter,georgefloydwasmurdered,donaldtrump,epstein",0
 man god nothing good blacklivesmatter corona unemployment georgeflyod trumpdictatorship trump,"blacklivesmatter,corona,unemployment,georgeflyod,trumpdictatorship,trump",-1
 man god nothing good blacklivesmatter corona unemployment georgeflyod trumpdictatorship trump,"blacklivesmatter,corona,unemployment,georgeflyod,trumpdictatorship,trump",-1
 rt 2h12 twitter font que de supprimer ces photos partager à fond si je saute c’est pour la bonne cause trump anonymous black live…,"trump,anonymous",1
 rt fazal pres trump’s tweet sets usa ablaze homicde george floyd creating unrest how stupid trump giving shoo…,"trump,usa,george",1
 dig deep book you’re holding mr trump you’ll find truths jesus challenging very…,trump,1
 rt notate la differenza io non la vedo salvini trump,"salvini,trump",0
 rt les manifestants pacifiques dispersés violemment autour de la maison blanche pour faire place à trump voulant aller po…,trump,0
 mi mamá cuando le doy un breve resumen de lo qué pasa anonymuos casablanca whitehouse donaldtrump,"anonymuos,casablanca,whitehouse,donaldtrump",0
 rt trump ein absolut sehenswertes interview dank und respekt 👇 usa trump versucht zu polarisieren …,trump,0
 rt 2h12 twitter font que de supprimer ces photos partager à fond si je saute c’est pour la bonne cause trump anonymous black live…,"trump,anonymous",1
 rt immagini che raccontano un'america diversa da quella che vuole il guerrafondaio fascista donaldtrump god bless you…,donaldtrump,1
 rt trump tendría que echarla como una 🐀🐀🐀 psicópata defenestrado un presidente como…,trump,0
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 was fact classiest web hack ever telecomix hacks trump's site post love letter,trump,1
 cdnpoli uspoli trump trumpout2020 trumpdictatorship donald trump tear gas police phalanx used cl…,"cdnpoli,uspoli,trump,trumpout2020,trumpdictatorship",-1
